,Genre,BoxOffice
0,战争,852.3
1,动作,852.3
2,冒险,691.95
3,科幻,691.95
4,剧情,691.95
5,动作,547.65
6,剧情,547.65
7,悬疑,509.7
8,喜剧,509.7
9,动作,509.7
10,奇幻,508.8
11,喜剧,508.8
12,爱情,508.8
13,喜剧,464.7
14,剧情,464.7
15,惊悚,404.4
16,犯罪,404.4
17,动作,404.4
18,喜剧,381.75
19,奇幻,365.85
20,喜剧,365.85
21,动作,365.85
22,惊悚,364.05
23,犯罪,364.05
24,动作,364.05
25,奇幻,358.5
26,冒险,358.5
27,动作,358.5
28,奇幻,335.55
29,喜剧,335.55
30,动作,335.55
31,喜剧,331.05
32,喜剧,328.65
33,科幻,328.65
34,剧情,328.65
35,奇幻,301.2
36,冒险,301.2
37,动作,301.2
38,冒险,297.75
39,科幻,297.75
40,动作,297.75
41,喜剧,291.3
42,爱情,291.3
43,科幻,280.05
44,动作,280.05
45,冒险,262.95
46,喜剧,262.95
47,动作,262.95
48,喜剧,256.2
49,冒险,254.4
50,科幻,254.4
51,动作,254.4
52,奇幻,252.45
53,冒险,252.45
54,剧情,252.45
55,奇幻,248.55
56,喜剧,248.55
57,动作,248.55
58,喜剧,242.1
59,冒险,232.65
60,科幻,232.65
61,动作,232.65
62,冒险,229.5
63,喜剧,229.5
64,动画,229.5
65,奇幻,220.8
66,冒险,220.8
67,动作,220.8
68,冒险,219.6
69,科幻,219.6
70,动作,219.6
71,喜剧,216.3
72,爱情,216.3
73,爱情,213.45
74,战争,213.45
75,剧情,213.45
76,冒险,213.15
77,科幻,213.15
78,动作,213.15
79,冒险,209.55
80,科幻,209.55
81,动作,209.55
82,奇幻,206.85
83,冒险,206.85
84,动作,206.85
85,爱情,204.15
86,喜剧,202.95
87,传记,194.55
88,动作,194.55
89,剧情,194.55
90,犯罪,190.65
91,动作,190.65
92,喜剧,190.05
93,冒险,186.9
94,科幻,186.9
95,动作,186.9
96,奇幻,186.9
97,冒险,186.9
98,喜剧,186.9
99,冒险,186.45
100,惊悚,186.45
101,动作,186.45
102,冒险,181.8
103,喜剧,181.8
104,动画,181.8
105,奇幻,180.15
106,喜剧,180.15
107,动作,180.15
108,犯罪,178.2
109,动作,178.2
110,剧情,178.2
111,奇幻,177.0
112,冒险,177.0
113,动作,177.0
114,奇幻,176.25
115,冒险,176.25
116,动作,176.25
117,喜剧,174.75
118,爱情,174.75
119,喜剧,174.45
120,奇幻,174.0
121,冒险,174.0
122,动作,174.0
123,冒险,171.75
124,科幻,171.75
125,动作,171.75
126,冒险,169.2
127,惊悚,169.2
128,动作,169.2
129,冒险,167.7
130,喜剧,167.7
131,动作,167.7
132,恐怖,166.8
133,科幻,166.8
134,动作,166.8
135,冒险,162.45
136,科幻,162.45
137,动作,162.45
138,恐怖,157.65
139,科幻,157.65
140,动作,157.65
141,奇幻,157.5
142,冒险,157.5
143,动作,157.5
144,喜剧,157.35
145,冒险,155.7
146,动作,155.7
147,动画,155.7
148,奇幻,150.75
149,冒险,150.75
150,动作,150.75
151,冒险,150.6
152,科幻,150.6
153,动作,150.6
154,冒险,150.3
155,动作,150.3
156,动画,150.3
157,冒险,146.85
158,家庭,146.85
159,剧情,146.85
160,喜剧,146.25
161,动作,146.25
162,动画,143.4
163,爱情,142.2
164,剧情,142.2
165,动作,135.45
166,剧情,135.45
167,奇幻,135.0
168,喜剧,135.0
169,冒险,134.1
170,动作,134.1
171,喜剧,133.35
172,动作,133.35
173,冒险,132.0
174,动作,132.0
175,冒险,131.85
176,爱情,131.85
177,动作,131.85
178,冒险,130.5
179,惊悚,130.5
180,动作,130.5
181,冒险,126.75
182,科幻,126.75
183,动作,126.75
184,冒险,124.65
185,喜剧,124.65
186,动作,124.65
187,奇幻,123.9
188,冒险,123.9
189,动作,123.9
190,喜剧,123.6
191,动作,123.6
192,剧情,123.6
193,喜剧,122.1
194,爱情,122.1
195,冒险,120.45
196,科幻,120.45
197,动作,120.45
198,喜剧,118.95
199,剧情,118.95
200,爱情,118.05
201,剧情,118.05
202,冒险,116.25
203,科幻,116.25
204,动作,116.25
205,传记,115.5
206,动作,115.5
207,剧情,115.5
208,冒险,115.35
209,科幻,115.35
210,动作,115.35
211,奇幻,114.9
212,冒险,114.9
213,喜剧,113.7
214,爱情,113.7
215,爱情,113.1
216,战争,113.1
217,剧情,113.1
218,奇幻,112.8
219,冒险,112.8
220,动作,112.8
221,音乐,112.05
222,喜剧,112.05
223,剧情,112.05
224,冒险,111.6
225,动作,111.6
226,剧情,111.6
227,冒险,111.45
228,喜剧,111.45
229,动作,111.45
230,冒险,111.0
231,动作,111.0
232,剧情,111.0
233,科幻,109.8
234,动作,109.8
235,剧情,109.8
236,喜剧,109.05
237,爱情,109.05
238,动作,109.05
239,冒险,108.75
240,科幻,108.75
241,动作,108.75
242,冒险,108.15
243,科幻,108.15
244,动作,108.15
245,冒险,108.15
246,科幻,108.15
247,动作,108.15
248,爱情,107.85
249,剧情,107.85
250,喜剧,107.25
251,剧情,107.25
252,冒险,106.65
253,科幻,106.65
254,剧情,106.65
255,冒险,106.35
256,喜剧,106.35
257,动画,106.35
258,奇幻,2788.0
259,冒险,2788.0
260,动作,2788.0
261,爱情,2188.0
262,剧情,2188.0
263,奇幻,2068.0
264,冒险,2068.0
265,动作,2068.0
266,奇幻,2047.0
267,冒险,2047.0
268,动作,2047.0
269,冒险,1672.0
270,科幻,1672.0
271,动作,1672.0
272,冒险,1519.0
273,科幻,1519.0
274,动作,1519.0
275,惊悚,1516.0
276,犯罪,1516.0
277,动作,1516.0
278,冒险,1405.0
279,科幻,1405.0
280,动作,1405.0
281,冒险,1347.0
282,科幻,1347.0
283,动作,1347.0
284,奇幻,1342.0
285,冒险,1342.0
286,剧情,1342.0
287,奇幻,1333.0
288,冒险,1333.0
289,动作,1333.0
290,冒险,1305.0
291,科幻,1305.0
292,动作,1305.0
293,冒险,1277.0
294,喜剧,1277.0
295,动画,1277.0
296,奇幻,1264.0
297,家庭,1264.0
298,歌舞,1264.0
299,惊悚,1236.0
300,犯罪,1236.0
301,动作,1236.0
302,冒险,1228.0
303,动作,1228.0
304,动画,1228.0
305,冒险,1215.0
306,科幻,1215.0
307,动作,1215.0
308,冒险,1159.0
309,动作,1159.0
310,动画,1159.0
311,冒险,1153.0
312,科幻,1153.0
313,动作,1153.0
314,冒险,1124.0
315,科幻,1124.0
316,动作,1124.0
317,奇幻,1120.0
318,冒险,1120.0
319,剧情,1120.0
320,冒险,1109.0
321,惊悚,1109.0
322,动作,1109.0
323,冒险,1104.0
324,科幻,1104.0
325,动作,1104.0
326,惊悚,1085.0
327,动作,1085.0
328,冒险,1067.0
329,喜剧,1067.0
330,动画,1067.0
331,奇幻,1066.0
332,冒险,1066.0
333,动作,1066.0
334,冒险,1056.0
335,科幻,1056.0
336,动作,1056.0
337,奇幻,1046.0
338,冒险,1046.0
339,动作,1046.0
340,冒险,1035.0
341,动作,1035.0
342,动画,1035.0
343,冒险,1029.0
344,惊悚,1029.0
345,科幻,1029.0
346,冒险,1029.0
347,喜剧,1029.0
348,动画,1029.0
349,奇幻,1027.0
350,冒险,1027.0
351,动作,1027.0
352,奇幻,1026.0
353,冒险,1026.0
354,家庭,1026.0
355,冒险,1024.0
356,喜剧,1024.0
357,动画,1024.0
358,奇幻,1021.0
359,冒险,1021.0
360,家庭,1021.0
361,犯罪,1005.0
362,动作,1005.0
363,剧情,1005.0
364,奇幻,975.0
365,冒险,975.0
366,家庭,975.0
367,冒险,971.0
368,喜剧,971.0
369,动画,971.0
370,冒险,969.0
371,剧情,969.0
372,动画,969.0
373,冒险,967.0
374,家庭,967.0
375,剧情,967.0
376,奇幻,963.0
377,冒险,963.0
378,动作,963.0
379,冒险,962.0
380,喜剧,962.0
381,动作,962.0
