,Name,NameEng,MtimePage,ReleaseDate,BoxOffice,BoxOfficeDetail,BoxOfficeRankCN,BoxOfficeRankNA,BoxOfficeRankG,MtimeRating,NumberofReviewers,BoxOfficeGlobal
0,战狼2,Wolf Warriors Ⅱ,http://movie.mtime.com/229733,2017年07月27日,56.82亿CNY,首日1.02亿|首周9.97亿|连冠4周,1,,61,7.4,17009,8.70亿USD
1,流浪地球,The Wandering Earth,http://movie.mtime.com/218707,2019年02月05日,46.13亿CNY,首日1.88亿|首周19.98亿|连冠2周,2,,,7.9,12081,
2,红海行动,Operation Red Sea,http://movie.mtime.com/240425,2018年02月16日,36.51亿CNY,首日1.29亿|首周4.65亿,3,,,8.1,10175,
3,唐人街探案2,Detective Chinatown 2,http://movie.mtime.com/234873,2018年02月16日,33.98亿CNY,首日3.41亿|首周9.90亿,4,,,7.0,5827,
4,美人鱼,The Mermaid,http://movie.mtime.com/209007,2016年02月08日,33.92亿CNY,首日2.72亿|首周18.18亿|连冠2周,5,,,7.4,18216,
5,我不是药神,Dying To Survive,http://movie.mtime.com/242167,2018年07月05日,30.98亿CNY,首日1.60亿|首周11.72亿|连冠2周,6,,,8.8,9062,
6,速度与激情8,The Fate of the Furious,http://movie.mtime.com/224149,2017年04月14日,26.96亿CNY,首日4.21亿|首周13.15亿|连冠2周,7,,15,7.3,5639,12.36亿USD
7,西虹市首富,Hello Mr. Billionaire,http://movie.mtime.com/253688,2018年07月27日,25.45亿CNY,首日2.27亿|首周9.02亿,8,,,6.7,5977,
8,捉妖记,Monster Hunt,http://movie.mtime.com/211794,2015年07月16日,24.39亿CNY,首日1.63亿|首周6.65亿|连冠3周,9,,,7.2,14663,
9,速度与激情7,Fast & Furious 7,http://movie.mtime.com/196613,2015年04月12日,24.27亿CNY,首日3.46亿|首周3.46亿|连冠4周,10,46,7,8.3,21667,15.16亿USD
10,复仇者联盟3：无限战争,Avengers: Infinity War,http://movie.mtime.com/217497,2018年05月11日,23.90亿CNY,首日3.87亿|首周12.13亿,11,4,4,8.1,8221,20.47亿USD
11,捉妖记2,Monster Hunt 2,http://movie.mtime.com/237182,2018年02月16日,22.37亿CNY,首日5.47亿|首周12.04亿,12,,,6.0,3611,
12,羞羞的铁拳,Never Say Die,http://movie.mtime.com/246526,2017年09月30日,22.07亿CNY,首日1.33亿|首周3.11亿|连冠2周,13,,,7.3,6615,
13,疯狂的外星人,Crazy Alien,http://movie.mtime.com/230385,2019年02月05日,21.91亿CNY,首日4.06亿|首周14.47亿,14,,,6.8,3688,
14,海王,Aquaman,http://movie.mtime.com/132277,2018年12月07日,20.08亿CNY,首日1.57亿|首周6.42亿|连冠3周,15,56,,8.0,5889,
15,变形金刚4：绝迹重生,Transformers: Age of Extinction,http://movie.mtime.com/157905,2014年06月27日,19.85亿CNY,首日1.75亿,16,,23,7.0,32514,11.04亿USD
16,前任3：再见前任,The Ex-File: The Return of the Exes,http://movie.mtime.com/230788,2017年12月29日,19.42亿CNY,首日6449.1万|首周2.81亿,17,,,6.5,3779,
17,毒液：致命守护者,Venom,http://movie.mtime.com/103937,2018年11月09日,18.67亿CNY,首日2.23亿|首周7.49亿,18,,,7.3,4298,
18,功夫瑜伽,Kung-Fu Yoga,http://movie.mtime.com/217896,2017年01月28日,17.53亿CNY,首日1.39亿|首周2.70亿,19,,,6.0,3112,
19,飞驰人生,Pegasus,http://movie.mtime.com/254868,2019年02月05日,17.08亿CNY,首日3.18亿|首周10.42亿,20,,,7.2,2916,
20,侏罗纪世界2,Jurassic World: Fallen Kingdom,http://movie.mtime.com/225759,2018年06月15日,16.96亿CNY,首日2.02亿|首周7.21亿,21,23,12,7.1,3895,13.05亿USD
21,寻龙诀,Mojin-The Lost Legend,http://movie.mtime.com/196282,2015年12月18日,16.83亿CNY,首日1.62亿|首周5.92亿,22,,,7.5,15233,
22,西游伏妖篇,Journey to the West: Demon Chapter,http://movie.mtime.com/208325,2017年01月28日,16.57亿CNY,首日3.56亿|首周5.79亿,23,,,6.5,20077,
23,港囧,Lost In Hongkong,http://movie.mtime.com/208076,2015年09月25日,16.14亿CNY,首日1.99亿|首周6.73亿,24,,,6.2,22988,
24,变形金刚5：最后的骑士,Transformers: The Last Knight,http://movie.mtime.com/211901,2017年06月23日,15.51亿CNY,首日2.90亿|首周8.29亿,25,,,6.0,7071,
25,疯狂动物城,Zootopia,http://movie.mtime.com/205222,2016年03月04日,15.30亿CNY,首日2245.5万|首周1.55亿,26,50,34,8.6,14838,10.24亿USD
26,魔兽,Warcraft,http://movie.mtime.com/89952,2016年06月08日,14.72亿CNY,首日2.52亿|首周9.80亿,27,,,7.9,20299,
27,复仇者联盟2：奥创纪元,Avengers: Age of Ultron,http://movie.mtime.com/173060,2015年05月12日,14.64亿CNY,首日1.86亿|首周9.37亿,28,16,8,7.6,15265,14.05亿USD
28,夏洛特烦恼,Goodbye Mr.Loser,http://movie.mtime.com/218763,2015年09月30日,14.42亿CNY,首日2326.6万|首周2.58亿,29,,,7.7,17871,
29,芳华,Youth,http://movie.mtime.com/236404,2017年12月15日,14.23亿CNY,首日7610.5万|首周2.94亿|连冠2周,30,,,7.7,7139,
