,Name,NameEng,MtimePage,ReleaseDate,BoxOffice,Actor
0,战狼2,Wolf Warriors Ⅱ,http://movie.mtime.com/229733,2017-07-27,852.3,吴京 Jing Wu
1,流浪地球,The Wandering Earth,http://movie.mtime.com/218707,2019-02-05,693.0,吴京 Jing Wu
2,红海行动,Operation Red Sea,http://movie.mtime.com/240425,2018-02-16,547.65,张译 Yi Zhang
3,唐人街探案2,Detective Chinatown 2,http://movie.mtime.com/234873,2018-02-16,509.7,王宝强 Baoqiang Wang
4,美人鱼,The Mermaid,http://movie.mtime.com/209007,2016-02-08,508.8,邓超 Chao Deng
5,我不是药神,Dying To Survive,http://movie.mtime.com/242167,2018-07-05,464.7,徐峥 Zheng Xu
6,速度与激情8,The Fate of the Furious,http://movie.mtime.com/224149,2017-04-14,404.4,范·迪塞尔 Vin Diesel
7,西虹市首富,Hello Mr. Billionaire,http://movie.mtime.com/253688,2018-07-27,381.75,沈腾 Teng Shen
8,捉妖记,Monster Hunt,http://movie.mtime.com/211794,2015-07-16,365.85,井柏然 Boran Jing
9,速度与激情7,Fast & Furious 7,http://movie.mtime.com/196613,2015-04-12,364.05,范·迪塞尔 Vin Diesel
10,复仇者联盟3：无限战争,Avengers: Infinity War,http://movie.mtime.com/217497,2018-05-11,358.5,小罗伯特·唐尼 Robert Downey Jr.
11,捉妖记2,Monster Hunt 2,http://movie.mtime.com/237182,2018-02-16,335.55,梁朝伟 Tony Leung
12,羞羞的铁拳,Never Say Die,http://movie.mtime.com/246526,2017-09-30,331.05,艾伦 Allen Ai
13,疯狂的外星人,Crazy Alien,http://movie.mtime.com/230385,2019-02-05,328.65,黄渤 Bo Huang
14,海王,Aquaman,http://movie.mtime.com/132277,2018-12-07,301.2,杰森·莫玛 Jason Momoa
15,变形金刚4：绝迹重生,Transformers: Age of Extinction,http://movie.mtime.com/157905,2014-06-27,297.75,马克·沃尔伯格 Mark Wahlberg
16,前任3：再见前任,The Ex-File: The Return of the Exes,http://movie.mtime.com/230788,2017-12-29,291.3,韩庚 Geng Han
17,毒液：致命守护者,Venom,http://movie.mtime.com/103937,2018-11-09,280.05,汤姆·哈迪 Tom Hardy
18,功夫瑜伽,Kung-Fu Yoga,http://movie.mtime.com/217896,2017-01-28,262.95,成龙 Jackie Chan
19,飞驰人生,Pegasus,http://movie.mtime.com/254868,2019-02-05,256.35,沈腾 Teng Shen
20,侏罗纪世界2,Jurassic World: Fallen Kingdom,http://movie.mtime.com/225759,2018-06-15,254.4,克里斯·帕拉特 Chris Pratt
21,寻龙诀,Mojin-The Lost Legend,http://movie.mtime.com/196282,2015-12-18,252.45,陈坤 Kun Chen
22,西游伏妖篇,Journey to the West: Demon Chapter,http://movie.mtime.com/208325,2017-01-28,248.55,吴亦凡 Kris Wu
23,港囧,Lost In Hongkong,http://movie.mtime.com/208076,2015-09-25,242.1,徐峥 Zheng Xu
24,变形金刚5：最后的骑士,Transformers: The Last Knight,http://movie.mtime.com/211901,2017-06-23,232.65,马克·沃尔伯格 Mark Wahlberg
25,疯狂动物城,Zootopia,http://movie.mtime.com/205222,2016-03-04,229.5,金妮弗·古德温 Ginnifer Goodwin
26,魔兽,Warcraft,http://movie.mtime.com/89952,2016-06-08,220.8,崔维斯·费米尔 Travis Fimmel
27,复仇者联盟2：奥创纪元,Avengers: Age of Ultron,http://movie.mtime.com/173060,2015-05-12,219.6,小罗伯特·唐尼 Robert Downey Jr.
28,夏洛特烦恼,Goodbye Mr.Loser,http://movie.mtime.com/218763,2015-09-30,216.3,沈腾 Teng Shen
29,芳华,Youth,http://movie.mtime.com/236404,2017-12-15,213.45,黄轩 Xuan Huang
30,侏罗纪世界,Jurassic World,http://movie.mtime.com/191813,2015-06-10,213.15,克里斯·帕拉特 Chris Pratt
31,头号玩家,Ready Player One,http://movie.mtime.com/219107,2018-03-30,209.55,泰尔·谢里丹 Tye Sheridan
32,阿凡达,Avatar,http://movie.mtime.com/45997,2010-01-04,206.85,萨姆·沃辛顿 Sam Worthington
33,后来的我们,Us And Them,http://movie.mtime.com/253823,2018-04-28,204.15,井柏然 Boran Jing
34,一出好戏,The Island,http://movie.mtime.com/241018,2018-08-10,202.95,黄渤 Bo Huang
35,摔跤吧！爸爸,Dangal,http://movie.mtime.com/232932,2017-05-05,194.55,阿米尔·汗 Aamir Khan
36,无双,Project Gutenberg,http://movie.mtime.com/225752,2018-09-30,190.65,周润发 Yun-Fat Chow
