,Name,NameEng,MtimePage,ReleaseDate,BoxOffice,Actor
0,星球大战：原力觉醒,Star Wars: The Force Awakens,http://movie.mtime.com/192895,2015-12-18,937.0,黛茜·雷德利 Daisy Ridley
1,阿凡达,Avatar,http://movie.mtime.com/45997,2009-12-18,761.0,萨姆·沃辛顿 Sam Worthington
2,黑豹,Black Panther,http://movie.mtime.com/218085,2018-02-16,700.0,查德维克·博斯曼 Chadwick Boseman
3,复仇者联盟3：无限战争,Avengers: Infinity War,http://movie.mtime.com/217497,2018-04-27,679.0,小罗伯特·唐尼 Robert Downey Jr.
4,泰坦尼克号,Titanic,http://movie.mtime.com/11925,1997-12-19,659.0,莱昂纳多·迪卡普里奥 Leonardo DiCaprio
5,侏罗纪世界,Jurassic World,http://movie.mtime.com/191813,2015-06-12,652.0,克里斯·帕拉特 Chris Pratt
6,复仇者联盟,The Avengers,http://movie.mtime.com/83336,2012-05-04,623.0,小罗伯特·唐尼 Robert Downey Jr.
7,星球大战：最后的绝地武士,Star Wars: The Last Jedi,http://movie.mtime.com/211981,2017-12-15,620.0,黛茜·雷德利 Daisy Ridley
8,超人总动员2,The Incredibles 2,http://movie.mtime.com/223686,2018-06-15,609.0,格雷格·T·尼尔森 Craig T. Nelson
9,蝙蝠侠：黑暗骑士,The Dark Knight,http://movie.mtime.com/51378,2008-07-18,535.0,克里斯蒂安·贝尔 Christian Bale
10,星球大战外传：侠盗一号,Rogue One: A Star Wars Story,http://movie.mtime.com/214815,2016-12-16,532.0,菲丽希缇·琼斯 Felicity Jones
11,美女与野兽,Beauty and the Beast,http://movie.mtime.com/195064,2017-03-17,504.0,艾玛·沃森 Emma Watson
12,海底总动员2：多莉去哪儿,Finding Dory,http://movie.mtime.com/196387,2016-06-17,486.0,徐帆 Fan Xu
13,星球大战前传一：幽灵的威胁,Star Wars: Episode I - The Phantom Menace,http://movie.mtime.com/12307,1999-05-19,475.0,伊万·麦克格雷格 Ewan McGregor
14,星球大战,Star Wars,http://movie.mtime.com/12303,1977-05-25,461.0,马克·哈米尔 Mark Hamill
15,复仇者联盟2：奥创纪元,Avengers: Age of Ultron,http://movie.mtime.com/173060,2015-05-01,459.0,小罗伯特·唐尼 Robert Downey Jr.
16,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,http://movie.mtime.com/125424,2012-07-20,448.0,克里斯蒂安·贝尔 Christian Bale
17,怪物史瑞克2,Shrek 2,http://movie.mtime.com/10681,2004-05-19,441.0,麦克·梅尔斯 Mike Myers
18,外星人E.T.,E.T. the Extra-Terrestrial,http://movie.mtime.com/12047,1982-06-11,435.0,亨利·托马斯 Henry Thomas
19,饥饿游戏2：星火燎原,The Hunger Games: Catching Fire,http://movie.mtime.com/152776,2013-11-22,425.0,詹妮弗·劳伦斯 Jennifer Lawrence
20,加勒比海盗：聚魂棺,Pirates of the Caribbean: Dead Man's Chest,http://movie.mtime.com/17054,2006-07-07,423.0,约翰尼·德普 Johnny Depp
21,狮子王,The Lion King,http://movie.mtime.com/11809,1994-06-24,423.0,马修·布罗德里克 Matthew Broderick
22,侏罗纪世界2,Jurassic World: Fallen Kingdom,http://movie.mtime.com/225759,2018-06-22,418.0,克里斯·帕拉特 Chris Pratt
23,玩具总动员3,Toy Story 3,http://movie.mtime.com/46125,2010-06-18,415.0,汤姆·汉克斯 Tom Hanks
24,神奇女侠,Wonder Woman,http://movie.mtime.com/40205,2017-06-02,413.0,盖尔·加朵 Gal Gadot
